Date,Open,High,Low,Close,Volume,Adj Close
2008-02-12,2333.31,2349.55,2305.83,2320.04,2183530000,2320.04
2008-02-11,2310.75,2326.23,2294.42,2320.06,2072270000,2320.06
2008-02-08,2290.50,2318.67,2280.27,2304.85,2229330000,2304.85
2008-02-07,2259.62,2318.52,2252.65,2293.03,2946360000,2293.03
2008-02-06,2327.18,2338.27,2277.27,2278.75,2362020000,2278.75
2008-02-05,2344.81,2359.43,2309.57,2309.57,2501820000,2309.57
2008-02-04,2413.42,2413.42,2382.09,2382.85,2050940000,2382.85
2008-02-01,2392.58,2419.23,2374.50,2413.36,3060180000,2413.36
2008-01-31,2317.11,2403.46,2313.52,2389.86,2813420000,2389.86
2008-01-30,2346.36,2396.00,2343.88,2349.00,2618850000,2349.00
2008-01-29,2360.43,2362.11,2332.00,2358.06,2160040000,2358.06
2008-01-28,2324.85,2349.91,2306.64,2349.91,2033860000,2349.91
2008-01-25,2402.80,2408.22,2322.56,2326.20,2599410000,2326.20
2008-01-24,2328.86,2361.89,2326.37,2360.92,2928900000,2360.92
2008-01-23,2226.77,2320.13,2202.54,2316.41,3650250000,2316.41
2008-01-22,2221.20,2318.60,2221.20,2292.27,3161430000,2292.27
2008-01-18,2365.56,2384.21,2323.29,2340.02,2991360000,2340.02
2008-01-17,2405.74,2416.51,2343.65,2346.90,2785930000,2346.90
2008-01-16,2390.56,2429.58,2361.22,2394.59,3397330000,2394.59
2008-01-15,2449.04,2455.29,2412.47,2417.59,2390120000,2417.59
2008-01-14,2470.87,2483.13,2455.34,2478.30,2134230000,2478.30
2008-01-11,2471.86,2473.95,2428.85,2439.94,2355490000,2439.94
2008-01-10,2452.12,2503.55,2446.80,2488.52,2640400000,2488.52
2008-01-09,2443.85,2474.55,2407.39,2474.55,2821160000,2474.55
2008-01-08,2506.97,2527.42,2440.51,2440.51,2566480000,2440.51
2008-01-07,2514.15,2521.62,2471.23,2499.46,2600100000,2499.46
2008-01-04,2571.08,2571.08,2502.68,2504.65,2516310000,2504.65
2008-01-03,2611.96,2624.27,2592.18,2602.68,1970200000,2602.68
2008-01-02,2653.91,2661.50,2597.81,2609.63,2076690000,2609.63
